level_0,index,Name,Distance [Mpc],RA,Dec,l,b,sigma_e [km/s]
648,649,IC 676,24.6,168.166,9.05583,246.041,60.4928,64.0
649,650,Leo_II,0.219,168.37,22.1517,220.169,67.2312,9.2
650,651,NGC 595,34.7,168.856,47.4469,159.275,62.3411,134.6
651,652,NGC 599,19.657,168.862,18.1103,230.081,66.1381,63.7
652,653,NGC 605,22.1,169.194,18.0172,230.641,66.3782,83.8
653,654,NGC 607,21.367,169.227,18.0517,230.6,66.4221,206.5
654,655,NGC 608,24.27,169.245,18.1486,230.402,66.481,169.0
655,656,NGC 610,26.892,169.605,58.7864,143.542,54.4617,182.0
656,657,NGC 613,29.55,169.65,58.0,144.34,55.0999,196.8
657,658,NGC 619,27.9,169.84,57.7578,144.46,55.353,143.5
658,659,NGC 626,23.15,170.016,18.3569,230.767,67.2281,131.2
659,660,NGC 630,28.467,170.071,2.96444,256.952,57.4582,156.7
660,661,NGC 640,24.19,170.278,3.23472,256.925,57.7985,176.2
661,662,NGC 641,27.567,170.287,3.19472,256.985,57.7731,141.3
662,663,NGC 648,31.9,170.631,39.8769,172.577,67.6066,167.5
663,664,NGC 658,32.7,170.992,38.5622,175.38,68.4479,126.2
664,665,NGC 665,30.0,171.182,38.7628,174.712,68.4935,216.3
665,666,NGC 674,33.4,171.611,57.0483,143.853,56.4923,185.4
666,667,NGC 694,35.4,172.225,35.4139,182.614,70.5672,87.3
667,668,Leo_V,0.186,172.79,2.22,261.862,58.5374,-9.9
668,669,Leo_IV,0.156,173.237,-0.533333,265.441,56.5144,4.6
669,670,PGC 35754,39.0,173.615,33.1792,188.257,72.3267,103.5
670,671,AGC 210505,90.254,174.118,19.8114,232.021,71.3451,127.0
671,672,AGC 210512,90.254,174.215,20.005,231.603,71.5123,146.0
672,673,NGC 757,22.6,174.262,58.4156,140.369,56.1226,134.3
673,674,AGC 211586,90.254,174.27,19.9239,231.906,71.5234,-9.9
674,675,AGC 211587,90.254,174.962,20.395,231.465,72.3138,-9.9
675,676,AGC 211588,90.254,174.996,20.1597,232.205,72.2385,-9.9
676,677,IC 719,28.567,175.077,9.01,256.752,65.288,128.2
677,678,NGC 796,22.7,175.13,60.2989,138.067,54.6963,82.4
678,679,NGC 805,98.7,175.174,20.3431,231.907,72.4694,216.0
679,680,AGC 211589,90.254,175.23,20.3247,232.038,72.5083,-9.9
680,681,AGC 210603,90.254,175.343,19.9628,233.27,72.4399,196.0
681,682,NGC 816,90.254,175.45,20.1036,233.007,72.5938,-9.9
682,683,AGC 211591,90.254,175.469,20.2492,232.599,72.6754,-9.9
683,684,NGC 818,35.025,175.489,-6.15556,273.593,52.7126,194.6
684,685,AGC 211592,90.254,175.497,20.2553,232.62,72.7019,-9.9
685,686,NGC 821,90.254,175.538,20.3156,232.497,72.7631,196.0
686,687,AGC 211593,90.254,175.675,20.2997,232.74,72.8706,-9.9
687,688,AGC 211149,90.254,175.692,19.9486,233.82,72.7242,-9.9
688,689,AGC 210639,90.254,175.746,20.0869,233.485,72.8331,176.0
689,690,AGC 211596,90.254,175.776,19.9389,233.974,72.7896,-9.9
690,691,UGC 683,90.254,175.817,19.7489,234.601,72.734,-9.9
691,692,AGC 210647,90.254,175.823,19.3842,235.679,72.5618,-9.9
692,693,AGC 211598,90.254,175.832,19.4228,235.58,72.588,-9.9
693,694,AGC 210661,90.254,175.904,19.6047,235.159,72.7361,-9.9
694,695,NGC 834,90.254,175.907,19.0906,236.657,72.4836,219.0
695,696,AGC 211600,90.254,175.913,19.5794,235.247,72.7311,-9.9
696,697,AGC 210666,98.8,175.933,20.2728,233.197,73.0747,166.0
697,698,AGC 210667,90.254,175.945,20.0392,233.924,72.9763,-9.9
698,699,AGC 211602,90.254,175.973,19.7394,234.866,72.8579,-9.9
699,700,NGC 837,87.55,175.985,19.8944,234.421,72.9418,-9.9
700,701,AGC 211604,90.254,175.989,19.9356,234.303,72.9647,-9.9
701,702,AGC 210674,90.254,175.99,19.9539,234.249,72.9737,179.0
702,703,AGC 211622,90.254,175.99,20.3006,233.195,73.1343,-9.9
703,704,AGC 211603,90.254,175.99,20.3006,233.195,73.1343,-9.9
704,705,AGC 210676,90.254,175.998,19.7789,234.787,72.8978,152.0
705,706,NGC 844,90.254,176.003,20.0294,234.041,73.0206,201.0
706,707,NGC 841,12.9,176.009,19.9719,234.223,72.9981,143.0
707,708,NGC 842,94.98,176.009,19.9497,234.29,72.9876,304.0
708,709,AGC 210677,90.254,176.013,19.8011,234.744,72.9208,-9.9
709,710,NGC 845,90.254,176.022,19.9961,234.171,73.0208,179.0
710,711,AGC 211605,90.254,176.024,20.2483,233.405,73.139,-9.9
711,712,AGC 210688,90.254,176.032,19.7375,234.962,72.9054,-9.9
712,713,NGC 838,23.5,176.057,57.9483,139.289,56.9943,133.4
713,714,AGC 210694,90.254,176.079,19.8447,234.713,72.9957,-9.9
714,715,NGC 851,90.254,176.085,19.9808,234.312,73.0655,255.0
715,716,AGC 210695,90.254,176.086,19.8258,234.781,72.9929,-9.9
716,717,AGC 210703,90.254,176.105,19.8281,234.803,73.0091,-9.9
717,718,AGC 211606,90.254,176.105,20.1078,233.956,73.1412,-9.9
718,719,AGC 210699,90.254,176.118,19.7353,235.102,72.9758,-9.9
719,720,AGC 210708,90.254,176.127,20.0767,234.085,73.1454,138.0
720,721,AGC 210717,90.254,176.194,19.7578,235.153,73.0492,-9.9
721,722,AGC 210724,90.254,176.197,19.8764,234.801,73.1089,-9.9
725,726,AGC 210727,90.254,176.228,19.7764,235.15,73.0863,-9.9
726,727,AGC 210729,90.254,176.238,19.735,235.29,73.0745,163.0
730,731,AGC 210741,90.254,176.312,19.8456,235.072,73.1884,189.0
731,732,AGC 211610,90.254,176.355,19.2981,236.777,72.9538,-9.9
732,733,AGC 211611,19.296,176.356,19.8181,235.225,73.2118,-9.9
733,734,AGC 210749,90.254,176.365,20.8072,232.158,73.6752,288.0
734,735,AGC 211612,90.254,176.367,20.2942,233.78,73.446,-9.9
735,736,NGC 867,90.254,176.373,19.4003,236.504,73.0199,227.0
736,737,NGC 868,90.254,176.375,19.4447,236.374,73.0432,218.0
737,738,AGC 211613,90.254,176.397,19.4164,236.495,73.0474,-9.9
738,739,AGC 211614,90.254,176.422,19.7703,235.474,73.2425,-9.9
739,740,NGC 873,87.036,176.442,19.7739,235.495,73.261,-9.9
740,741,NGC 875,90.254,176.456,19.7675,235.536,73.2692,-9.9
741,742,AGC 210759,90.254,176.495,19.5289,236.318,73.1832,-9.9
742,743,AGC 210763,90.254,176.513,19.4369,236.623,73.1521,-9.9
743,744,AGC 210765,90.254,176.526,19.7903,235.579,73.3378,161.0
744,745,AGC 210764,90.254,176.526,19.6344,236.052,73.2616,-9.9
745,746,PGC 170172,37.1,176.732,-5.18778,274.768,54.1184,68.5
746,747,NGC 886,96.35,176.773,19.8372,235.835,73.5639,254.0
747,748,AGC 210795,5.0,177.014,20.0064,235.703,73.8437,139.0
748,749,NGC 904,24.66,177.305,-29.2767,286.982,31.6607,202.7
749,750,NGC 919,90.254,177.673,20.0153,236.791,74.3869,281.0
750,751,AGC 210831,90.254,177.711,20.0489,236.749,74.4349,-9.9
751,752,AGC 211615,90.254,177.772,20.1467,236.539,74.5334,-9.9
752,753,NGC 937,9.5,178.177,20.6314,235.63,75.1012,308.0
753,754,AGC 211616,90.254,178.18,20.5939,235.762,75.0849,-9.9
754,755,NGC 940,92.075,178.193,20.9892,234.423,75.2827,-9.9
755,756,AGC 211617,90.254,178.205,20.67,235.547,75.1426,-9.9
756,757,NGC 941,14.175,178.23,36.9864,170.718,74.1937,120.5
757,758,AGC 211618,5.915,178.258,20.6864,235.583,75.1936,-9.9
758,759,AGC 210878,97.423,178.296,20.6589,235.744,75.2115,148.0
759,760,NGC 945,21.767,178.307,60.6756,135.33,55.0294,177.4
760,761,AGC 211619,90.254,178.366,20.6944,235.746,75.2864,-9.9
761,762,AGC 211620,90.254,178.369,20.4856,236.467,75.1873,-9.9
762,763,NGC 998,21.925,179.484,55.4536,138.172,60.0633,223.9
763,764,NGC 026,15.175,179.855,50.9617,141.939,64.2038,156.7
764,765,NGC 036,20.8,180.361,61.8958,132.98,54.2464,182.0
765,766,NGC 078,48.85,181.198,10.5956,267.116,70.1528,183.7
766,767,NGC 111,15.55,181.763,43.0658,149.529,71.6963,163.3
767,768,NGC 125,24.422,182.025,65.1742,130.19,51.339,214.2
768,769,NGC 119,17.803,182.04,10.3789,269.549,70.3923,68.9
769,770,IC 3019,18.1,182.343,13.9925,264.074,73.6026,-9.9
770,771,NGC 143,17.9,182.4,42.5342,149.184,72.3962,178.6
771,772,IC 3025,16.475,182.596,10.1886,271.254,70.4923,26.0
772,773,NGC 150,14.12,182.64,30.4017,190.446,80.467,82.2
773,774,IC 767,16.5,182.761,12.1039,268.738,72.2386,29.5
774,775,IC 3032,19.8,182.782,14.2747,264.751,74.0779,28.9
775,776,NGC 168,31.771,183.072,13.2053,267.68,73.3372,170.6
776,777,NGC 179,19.6,183.217,1.29972,281.62,62.5647,167.5
777,778,NGC 191,45.1,183.46,7.20083,277.104,68.1667,124.5
778,779,NGC 203,14.94,183.771,33.1972,173.033,80.0787,129.1
779,780,IC 3065,17.271,183.802,14.4328,267.499,74.7538,-9.9
780,781,NGC 215,28.9,183.977,6.40111,279.167,67.6186,133.0
781,782,IC 3077,15.05,183.985,14.4331,268.07,74.8476,20.8
782,783,PGC 39331,21.817,184.14,13.0317,271.157,73.7125,-9.9
783,784,NGC 233,35.98,184.282,7.62444,278.724,68.8681,194.1
784,785,IC 3101,17.7,184.332,11.9433,273.487,72.835,-9.9
785,786,NGC 249,38.7,184.497,5.59861,281.148,67.045,79.6
786,787,NGC 251,13.415,184.534,28.1753,202.931,82.5532,128.8
787,788,IC 3131,9.12,184.712,7.86194,279.595,69.2438,26.6
788,789,NGC 255,30.633,184.734,4.78611,282.374,66.3519,159.6
789,790,NGC 259,57.0,184.842,5.37639,282.164,66.9462,108.6
791,792,PGC 39672,37.45,184.866,5.0475,282.483,66.6413,66.9
792,793,NGC 262,20.0,184.877,14.8778,270.09,75.6723,161.1
794,795,NGC 267,16.545,184.938,12.7983,274.014,73.8642,123.6
795,796,NGC 268,29.6,184.947,5.28389,282.489,66.891,154.2
796,797,NGC 270,33.767,184.956,5.46333,282.369,67.0645,124.7
797,798,IC 781,16.41,185.014,14.9614,270.385,75.8103,24.1
799,800,PGC 39772,16.5,185.051,6.62306,281.629,68.1934,30.9
800,801,NGC 291,33.491,185.076,75.3708,125.554,41.5986,240.3
802,803,NGC 281,34.175,185.09,5.38639,282.754,67.0326,227.5
803,804,UGC 399A,16.41,185.203,17.4869,265.095,78.0444,35.7
804,805,IC 3192,16.5,185.27,11.7547,276.595,73.055,23.8
805,806,IC 782,36.3,185.404,5.76583,283.226,67.4895,74.1
806,807,NGC 306,16.871,185.517,12.7875,275.879,74.0962,40.9
807,808,NGC 309,22.95,185.561,7.16722,282.465,68.871,-9.9
808,809,UGC 436,16.74,185.581,14.7608,272.748,75.8972,42.2
809,810,PGC 40115,26.2,185.671,7.95028,282.057,69.6482,-9.9
810,811,NGC 318,24.575,185.68,8.19833,281.851,69.886,226.0
811,812,NGC 324,30.367,185.776,5.25028,284.532,67.1044,90.4
812,813,NGC 328,16.1,185.833,15.8203,271.53,76.9459,35.1
813,814,NGC 346,15.65,185.866,46.9939,136.575,69.3864,127.1
814,815,NGC 339,18.712,185.895,6.08167,284.212,67.9352,95.5
815,816,NGC 340,17.389,185.897,16.7222,269.731,77.7597,106.4
816,817,PGC 40235,16.5,185.91,12.6278,277.396,74.1052,-9.9
817,818,NGC 342,16.8,185.912,7.05389,283.482,68.8698,242.1
818,819,PGC 40286,16.5,185.97,12.7731,277.384,74.2617,-9.9
819,820,NGC 350,16.0,185.991,16.6933,270.166,77.7802,174.6
820,821,NGC 352,19.067,186.021,11.2181,279.612,72.8394,-9.9
821,822,LLH2012 1,16.5,186.081,12.3272,278.374,73.8921,-9.9
822,823,LLH2012 2,16.5,186.09,12.6097,278.014,74.1568,-9.9
823,824,NGC 365,21.953,186.118,7.31778,283.808,69.1822,221.3
824,825,IC 3284,16.0,186.156,10.8392,280.479,72.5317,-9.9
825,826,LLH2012 3,16.5,186.173,12.5111,278.425,74.0965,-9.9
826,827,LLH2012 4,16.5,186.19,12.7758,278.108,74.3473,-9.9
827,828,NGC 366,16.5,186.196,7.35306,283.987,69.2386,44.7
828,829,IC 3292,16.5,186.201,18.195,267.067,79.1634,43.5
829,830,PGC 40428,20.2,186.206,6.75944,284.489,68.673,31.3
830,831,VCC 3,16.5,186.215,13.1111,277.709,74.6661,-9.9
831,832,NGC 371,15.917,186.231,11.7042,279.673,73.367,143.9
832,833,LLH2012 5,16.5,186.252,13.04,277.94,74.6148,-9.9
833,834,VCC 5,16.5,186.265,13.2447,277.68,74.808,-9.9
835,836,PGC 40460,16.5,186.27,13.0753,277.948,74.6539,-9.9
836,837,PGC 40473,16.5,186.29,12.3825,278.986,74.02,-9.9
837,838,NGC 377,19.309,186.301,14.7622,275.333,76.2081,123.6
838,839,PGC 40479,16.5,186.305,13.0256,278.137,74.6209,-9.9
839,840,LLH2012 6,16.5,186.307,13.0722,278.077,74.6648,-9.9
840,841,NGC 379,17.396,186.311,15.6075,273.773,76.9721,98.6
841,842,IC 3303,15.583,186.313,12.7147,278.608,74.3366,32.1
842,843,LLH2012 7,16.5,186.326,12.4097,279.067,74.0582,-9.9
843,844,LLH2012 8,16.5,186.334,13.1486,278.058,74.7455,-9.9
844,845,UGC 504,16.5,186.34,16.4294,272.15,77.7137,38.0
845,846,AGC 220542,16.5,186.34,13.0717,278.191,74.6767,-9.9
846,847,M85,17.056,186.35,18.1914,267.712,79.2376,179.1
847,848,LLH2012 9,16.5,186.353,13.1094,278.182,74.7166,-9.9
848,849,PGC 40518,16.5,186.361,12.6769,278.819,74.3189,-9.9
849,850,,16.5,186.367,12.3344,279.301,74.0026,-9.9
850,851,PGC 40519,16.5,186.369,12.6367,278.901,74.2844,-9.9
851,852,PGC 40524,16.5,186.37,12.4936,279.1,74.1519,-9.9
852,853,PGC 40523,16.5,186.377,12.9769,278.452,74.6027,-9.9
853,854,PGC 40534,15.65,186.39,13.2272,278.134,74.8389,-9.9
854,855,PGC 40545,16.5,186.403,12.8497,278.72,74.4945,-9.9
855,856,PGC 40548,19.8,186.405,13.1436,278.309,74.7674,-9.9
856,857,LLH2012 1,16.5,186.411,12.8236,278.785,74.4733,-9.9
857,858,PGC 169266,16.5,186.422,13.0475,278.506,74.6848,-9.9
858,859,NGC 387,17.5,186.424,12.8106,278.846,74.4657,99.5
859,860,PGC 40574,16.5,186.436,13.0222,278.589,74.6664,-9.9
860,861,LLH2012 2,16.5,186.437,12.7878,278.924,74.4496,-9.9
861,862,PGC 40577,16.5,186.446,12.7603,278.991,74.4272,-9.9
862,863,LLH2012 3,16.5,186.447,12.4219,279.453,74.1129,-9.9
863,864,PGC 40592,16.5,186.452,13.1228,278.499,74.7654,-9.9
864,865,PGC 40593,16.5,186.454,12.8044,278.957,74.4711,19.0
865,866,PGC 40598,18.2,186.46,13.1978,278.421,74.838,-9.9
866,867,PGC 40603,16.5,186.469,13.1914,278.46,74.8353,-9.9
867,868,PGC 40611,16.5,186.482,12.7697,279.099,74.4489,-9.9
868,869,IC 3338,16.5,186.491,10.0539,282.35,71.9003,29.0
869,870,LLH2012 4,16.5,186.505,13.2272,278.533,74.8818,-9.9
870,871,PGC 40636,17.4,186.523,12.5597,279.523,74.2681,-9.9
871,872,PGC 40641,16.5,186.528,12.8611,279.129,74.5503,-9.9
872,873,PGC 40647,16.5,186.54,12.3953,279.796,74.1206,-9.9
873,874,LLH2012 5,16.5,186.545,12.4817,279.699,74.203,-9.9
874,875,M86,16.442,186.549,12.9461,279.082,74.6368,190.5
875,876,PGC 40654,16.5,186.55,12.0869,280.224,73.8356,-9.9
876,877,NGC 406,16.5,186.562,12.9642,279.104,74.6585,-9.9
877,878,PGC 40662,16.5,186.564,13.3408,278.571,75.0085,-9.9
878,879,PGC 40661,16.5,186.565,13.1431,278.861,74.8257,-9.9
879,880,LLH2012 6,16.5,186.572,12.8328,279.317,74.5396,-9.9
880,881,PGC 40672,16.5,186.583,12.51,279.79,74.2429,-9.9
881,882,PGC 40679,16.5,186.594,12.7867,279.456,74.5047,-9.9
882,883,PGC 40686,16.5,186.598,13.3736,278.644,75.0515,-9.9
883,884,LLH2012 7,16.5,186.6,12.4169,279.968,74.1617,-9.9
884,885,LLH2012 8,16.5,186.609,12.6528,279.688,74.3852,-9.9
885,886,PGC 40691,16.5,186.617,12.9206,279.35,74.6374,-9.9
886,887,LLH2012 9,16.5,186.618,12.9758,279.277,74.6893,-9.9
887,888,IC 3344,17.03,186.635,13.5789,278.47,75.255,31.3
888,889,PGC 40707,16.5,186.638,12.7431,279.665,74.4796,-9.9
889,890,PGC 40718,16.5,186.651,12.8028,279.629,74.5399,-9.9
890,891,,16.5,186.659,11.8919,280.824,73.6898,-9.9
891,892,PGC 40723,19.2,186.666,12.5136,280.063,74.2749,-9.9
892,893,PGC 40725,16.5,186.672,12.845,279.641,74.5864,-9.9
893,894,LLH2012 1,16.5,186.68,12.2956,280.393,74.0758,-9.9
894,895,LLH2012 2,16.5,186.686,13.1878,279.215,74.9107,-9.9
895,896,PGC 40742,16.5,186.694,13.2667,279.132,74.987,-9.9
896,897,IC 3349,16.74,186.696,12.4539,280.242,74.2294,28.4
897,898,PGC 40747,18.14,186.7,13.3792,278.99,75.0935,-9.9
898,899,PGC 40753,16.5,186.702,12.4,280.331,74.1809,-9.9
899,900,LLH2012 3,16.5,186.706,12.1789,280.626,73.9752,-9.9
900,901,NGC 417,15.132,186.711,9.58417,283.469,71.5205,135.8
901,902,IC 3358,16.5,186.726,11.6639,281.318,73.4975,-9.9
902,903,AGC 222857,16.5,186.735,12.9614,279.7,74.7173,-9.9
903,904,PGC 40774,16.5,186.74,12.4206,280.433,74.2133,-9.9
904,905,Coma_Berenices,0.044,186.746,23.9042,241.887,83.6112,14.0
905,906,PGC 40782,16.5,186.747,12.5061,280.345,74.2957,-9.9
906,907,IC 3363,16.5,186.763,12.5608,280.329,74.3525,-9.9
907,908,LLH2012 4,16.5,186.764,13.29,279.343,75.0336,-9.9
908,909,PGC 40787,16.5,186.766,12.8664,279.935,74.6393,-9.9
909,910,LLH2012 5,16.5,186.768,13.4558,279.12,75.1893,-9.9
910,911,PGC 40792,16.5,186.775,13.3236,279.335,75.0689,-9.9
911,912,PGC 40798,16.5,186.785,13.3358,279.352,75.0838,-9.9
912,913,PGC 40806,16.5,186.797,12.0381,281.1,73.8731,-9.9
913,914,PGC 40805,16.5,186.797,12.1144,281.008,73.9451,-9.9
914,915,LLH2012 6,16.5,186.803,13.2208,279.577,74.9831,-9.9
915,916,NGC 425,16.8,186.805,12.7347,280.246,74.5299,82.8
916,917,LLH2012 7,16.5,186.814,13.4131,279.345,75.1661,-9.9
917,918,PGC 40823,16.5,186.816,12.665,280.374,74.4682,-9.9
918,919,LLH2012 8,16.5,186.82,12.5356,280.556,74.3483,-9.9
919,920,IC 3369,18.7,186.82,16.0244,274.929,77.5628,40.4
920,921,LLH2012 9,16.5,186.832,12.2211,280.992,74.0569,-9.9
921,922,,16.5,186.832,13.0869,279.863,74.8683,-9.9
922,923,LLH2012 1,16.5,186.835,11.6956,281.633,73.5627,-9.9
923,924,LLH2012 2,16.5,186.837,12.5747,280.563,74.3908,-9.9
924,925,PGC 40838,16.5,186.837,13.1117,279.85,74.8934,-9.9
925,926,PGC 40840,16.5,186.842,12.0686,281.215,73.917,-9.9
926,927,PGC 40841,16.5,186.848,12.3317,280.909,74.1662,-9.9
927,928,PGC 40849,16.5,186.854,13.4064,279.495,75.1739,-9.9
928,929,NGC 429,15.4,186.86,11.1078,282.379,73.0149,177.0
929,930,PGC 40854,16.5,186.862,11.9425,281.433,73.8047,-9.9
930,931,NGC 431,16.74,186.864,12.2903,281.015,74.1327,38.7
931,932,LLH2012 3,16.5,186.873,11.7344,281.713,73.6118,-9.9
932,933,PGC 40865,16.5,186.873,12.2689,281.072,74.1156,-9.9
933,934,PGC 40864,16.5,186.874,12.2519,281.096,74.1,-9.9
934,935,PGC 40880,16.5,186.893,12.8039,280.457,74.6247,-9.9
935,936,LLH2012 4,16.5,186.899,12.6244,280.711,74.4584,-9.9
936,937,NGC 434,22.183,186.903,8.15444,285.274,70.2051,99.8
937,938,PGC 40890,16.5,186.913,12.88,280.426,74.7028,-9.9
938,939,NGC 435,16.23,186.919,13.0789,280.178,74.8909,152.8
939,940,NGC 436,17.9,186.922,12.3158,281.177,74.1758,39.3
940,941,PGC 40905,16.5,186.923,12.4878,280.968,74.3381,-9.9
941,942,PGC 40906,16.5,186.925,12.0897,281.466,73.964,-9.9
942,943,LLH2012 5,16.5,186.931,11.9681,281.629,73.851,-9.9
943,944,LLH2012 6,16.5,186.935,12.5578,280.92,74.4079,-9.9
944,945,PGC 40916,16.5,186.943,11.7414,281.936,73.6409,-9.9
945,946,LLH2012 7,16.5,186.952,13.0753,280.298,74.8988,-9.9
946,947,PGC 40919,16.5,186.956,12.4997,281.064,74.3603,-9.9
947,948,LLH2012 8,16.5,186.971,12.3831,281.261,74.2554,-9.9
948,949,PGC 40928,16.5,186.977,12.6042,281.003,74.4654,-9.9
949,950,UGC 580,18.562,186.978,8.09028,285.537,70.1635,-9.9
950,951,PGC 40946,16.5,187.002,11.9497,281.886,73.8564,-9.9
951,952,NGC 442,15.11,187.016,9.80361,284.177,71.8191,170.2
952,953,LLH2012 9,16.5,187.025,12.8375,280.867,74.7005,-9.9
953,954,AGC 221561,16.5,187.027,12.8981,280.797,74.7582,-9.9
954,955,PGC 40959,16.5,187.028,12.9786,280.696,74.8343,-9.9
955,956,,16.5,187.033,12.4022,281.447,74.2937,-9.9
956,957,IC 794,23.6,187.036,12.0933,281.831,74.0031,45.6
957,958,PGC 40966,16.5,187.043,12.8089,280.968,74.6797,-9.9
958,959,PGC 40977,16.5,187.051,11.9703,282.026,73.8915,-9.9
959,960,IC 3383,15.267,187.051,10.2978,283.813,72.3016,-9.9
960,961,PGC 40975,16.5,187.054,13.0153,280.736,74.8772,-9.9
961,962,IC 3381,16.06,187.062,11.7897,282.272,73.7242,44.6
962,963,LLH2012 1,16.5,187.065,12.5603,281.359,74.4529,-9.9
963,964,LLH2012 2,16.5,187.074,11.8481,282.245,73.7832,-9.9
964,965,PGC 40995,16.5,187.078,11.7003,282.426,73.6444,-9.9
965,966,LLH2012 3,16.5,187.083,12.8164,281.099,74.7002,-9.9
966,967,LLH2012 4,16.5,187.084,13.3603,280.377,75.2108,-9.9
967,968,IC 3386,16.5,187.099,13.1958,280.654,75.0618,-9.9
968,969,PGC 41012,16.5,187.11,12.3458,281.777,74.2653,-9.9
969,970,IC 3388,15.8,187.117,12.8236,281.205,74.718,-9.9
970,971,LLH2012 5,16.5,187.124,11.9722,282.267,73.9164,-9.9
971,972,LLH2012 6,16.5,187.133,12.9878,281.051,74.878,-9.9
972,973,PGC 41035,16.5,187.135,11.7447,282.566,73.7044,-9.9
973,974,LLH2012 7,16.5,187.166,12.9781,281.18,74.8797,-9.9
974,975,IC 3393,17.218,187.174,12.9158,281.286,74.8236,42.0
975,976,PGC 41059,16.5,187.177,12.5497,281.76,74.4796,-9.9
976,977,NGC 452,16.04,187.18,11.755,282.704,73.7281,79.6
977,978,LLH2012 8,16.5,187.186,11.9936,282.451,73.9561,-9.9
978,979,PGC 41068,16.5,187.187,12.8097,281.469,74.728,-9.9
979,980,PGC 41071,16.5,187.192,12.0222,282.437,73.985,-9.9
980,981,LLH2012 9,16.5,187.195,12.6419,281.708,74.5724,-9.9
981,982,PGC 41077,16.5,187.204,12.1328,282.351,74.0937,-9.9
