Name;Type;Distance[Mpc];Ks;M_KsT;M_VT;(V-Ks)_0;(B-V)_0;M_BH[Msolar*10e6];Flags:M;Flags:C;Flags:M_BH;;l;b
M 32;E2;0.805;7;5.1;−19.45;−16.64;2816;895;2.45;1;0;1;121.150018;-21.976334
NGC 5128;E;3.62;6;3.49;−24.34;−21.36;2.98;898;56.9;1;1;0;309.51590251050;+19.41727080063
NGC 3379;E1;10.7;2;6.27;−23.88;−21.01;2867;939;416;1;1;1;233.490135;+57.63280
NGC 3377;E5;10.99;2;7.16;−23.06;−20.08;2.98;0.83;178;1;0;1;231.178408;+58.318103
NGC 4697;E5;12.54;1;6.37;−24.13;−21.33;2799;883;202;1;0;1;301.6328536972192;+57.0638953909440
NGC 4473;E5;15.25;1;7.16;−23.77;−20.89;2874;935;90;1;0;1;281.617044;+75.398700
NGC 4459;E2;16.01;1;7.15;−23.88;−20.91;2975;909;69.6;2;0;0;280.107872;+75.846366
NGC 4486B;E0;16.26;1;10.39;−20.67;−17.69;2.98;991;600;1;0;0;283.412063;+74.564234
NGC 4649;E2;16.46;1;5.49;−25.61;−22.63;2.98;947;4720;1;1;1;295.873609;+74.317763
M 87;E1;16.68;1;5.27;−25.85;−22.87;2.98;0.94;6150;1;1;1;283.77775491453;+74.49115456706
NGC 4472;E2;16.72;1;4.97;−26.16;−23.18;2.98;0.94;2540;1;1;1;286.922259;+70.196055
NGC 4382;E2;17.88;1;5.76;−25.51;−22.53;2.98;863;13;1;1;0;267.711985;+79.237220
NGC 4486A;E2;18.36;1;9.49;−21.83;−18.85;2.98;...;14.4;1;0;0;284.031801;+74.385884
NGC 4374;E1;18.51;1;5.75;−25.60;−22.62;2.98;945;925;2;1;0;278.20446880;+74.47836102
NGC 1374;E0;19.57;1;8.16;−23.30;−20.43;2874;908;590;1;0;1;236.362130;-54.295186
NGC 1399;E1;20.85;1;6.31;−25.29;−22.43;2863;948;881;1;1;0;236.716405;-53.635640
NGC 1316;E4;20.95;1;5.32;−26.29;−23.38;2.91;871;169;1;0;0;240.162730;-56.689846
NGC 3607;E1;22.65;2;6.99;−24.79;−21.92;2872;911;137;1;1;0;230.599631;+66.422343
NGC 1332;E6;22.66;2;7.05;−24.73;−21.58;3159;931;1470;1;0;0;212.182987;-54.366126
NGC 3608;E1;22.75;2;7.62;−24.17;−21.19;2.98;921;465;1;1;1;230.402784;+66.481179
NGC 2778;E2;23.44;2;9.51;−22.34;−19.39;2955;911;14.5;1;0;1;189.1037617621993;+43.0202275978036
NGC 5576;E3;25.68;2;7.83;−24.23;−21.29;2939;862;273;1;1;0;348.729796;+57.938383
NGC 5845;E3;25.87;2;9.11;−22.97;−19.73;3238;973;487;1;0;1;000.338945;+48.904317
NGC 4291;E2;26.58;2;8.42;−23.72;−20.76;2954;927;978;1;1;1;125.554225;+41.598336
NGC 6861;E4;28.71;2;7.71;−24.60;−21.42;3179;962;2100;1;0;1;350.877230;-32.210864
IC 1459;E4;28.92;2;6.81;−25.51;−22.42;3081;966;2480;1;0;0;004.65904774433;-64.10958905628 
NGC 1407;E0;29;2;6.46;−25.87;−22.89;2.98;969;4650;1;1;1;209.636253;-50.383758
NGC 4261;E2;32.36;2;6.94;−25.62;−22.64;2.98;974;529;2;1;0;281.8048847577;+67.3725601205
NGC 4751;E6;32.81;2;8.24;−24.38;−21.22;3158;983;2440;1;0;1;303.2077484511546;+20.2111219134314
NGC 5077;E3;38.7;9;8.22;−24.74;−21.66;2949;987;855;2;1;0;313.54550875290;+49.63503097681
A3565 BCG;E;49.2;9;7.5;−25.98;−23.03;2948;956;1300;2;1;0;313.5369;+27.967
NGC 1550;E1;52.5;9;8.77;−24.87;−21.89;2974;963;3870;1;1;1;190.975975;-31.848830
NGC 3091;E3;53.02;9;8.09;−25.54;−22.56;2.98;962;3720;1;1;1;256.755911;+27.502931
NGC 7619;E3;53.85;2;8.03;−25.65;−22.83;2821;969;2300;1;1;1;087.702038;-48.328284
NGC 5516;E3;55.3;9;8.31;−25.47;−22.50;2.97;993;3690;1;1;1;317.190416;+12.404435
NGC 2960;E2;67.1;9;9.78;−24.36;−21.30;3068;0.88;10.8;3;0;0;231.688883;+38.767658
NGC 7052;E3;70.4;9;8.57;−25.70;−22.86;2841;0.86;396;2;1;0;074.714727;-15.902930
IC 1481;E1.5;89.9;9;10.62;−24.17;...;...;...;14.9;3;0;0;085.566020;-50.169185
NGC 3842;E1;92.2;9;8.84;−25.99;−23.01;2.98;941;9090;1;1;1;234.290468;+72.987840
NGC 4889;E4;102;9;8.41;−26.64;−23.63;3007;1031;20800;1;1;1;057.196517;+87.893794
NGC 6251;E1;108.4;9;9.03;−26.18;−23.18;2998;...;614;2;1;0;115.76378461977;+31.1958327248
NGC 7768;E4;116;9;9.34;−26.00;−23.19;2811;906;1340;1;1;1;106.714887;-33.813232
NGC 6086;E;138;9;9.97;−25.74;−22.84;2884;965;3740;1;1;1;048.331114;+46.006493
A1836 BCG;E;152.4;9;9.99;−25.95;−22.64;3.31;1043;3740;2;1;0;328.9657;+47.6820
Cygnus A;E;242.7;9;10.28;−26.77;−23.23;3.54;...;2660;2;1;0;076.18988032608;+05.75538822840